type_clothes,price,address,image_link-src
Vêtement manche longue,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818932_uploaded_image1_1607474222.jpg
Vêtement Homme,8 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818929_uploaded_image1_1607474140.jpg
Pull à col roulé,10 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818827_uploaded_image1_1607468746.jpg
Tunique homme,14 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818810_uploaded_image1_1607468039.jpg
Pantalons Jeans,12 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818608_uploaded_image1_1607459597.jpg
T-shirts coton,5 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818564_uploaded_image1_1607457357.jpg
Pull-overs à capuche,15 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818552_uploaded_image1_1607456919.jpg
Pantalons jeans,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2818508_uploaded_image3_1607455702.jpeg
Pantalon  homme,6 500CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2817858_uploaded_image3_1607437182.jpeg
Vêtements  homme,14 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2817837_uploaded_image1_1607436920.jpg
