type_child_clothes,price,address,image_link-src
Habits enfant,20 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1250584_uploaded_image1_1574687002.27.png
Habits,20 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1250563_uploaded_image1_1574686849.73.png
Vêtements enfants,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1247267_uploaded_image1_1574628926.32.png
Vêtements garçons,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1247260_uploaded_image1_1574628815.36.png
Vêtements enfant,4 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1235758_uploaded_image1_1574406993.45.png
Chemise - enfant,5 500CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1231863_uploaded_image1_1574340460.7.png
Chemise - enfant,6 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1231855_uploaded_image1_1574340399.22.png
Chemise - enfant,6 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1231840_uploaded_image1_1574340288.7.png
Chemises enfants,6 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1231821_uploaded_image1_1574340172.2.png
Vêtements Enfants,11 000CFA,"Korhogo, Korhogo, Côte d'Ivoire",https://images.coinafrique.com/thumb_1230389_uploaded_image1_1574327732.09.png
Complet enfants,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1209988_uploaded_image1_1573969089.59.png
Vêtements enfant,20 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1206788_uploaded_image1_1573892787.48.png
Vêtements enfant,20 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1206770_uploaded_image1_1573892474.95.png
Vêtements  enfants,20 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1182573_uploaded_image1_1573467241.71.png
Habits  enfants,18 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1182442_uploaded_image1_1573466057.28.png
"Ensembles petite fille ""Lebé""",12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1163207_uploaded_image1_1573050777.67.png
Vêtements Versace,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1145156_uploaded_image1_1572704878.43.png
